2014-07-30 06:20:37 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 11]
2014-07-30 06:20:37 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\controllers\comment_controller.php, line 2825]
2014-07-30 06:20:37 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 16]
2014-07-30 06:20:37 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 18]
2014-07-30 06:20:51 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 11]
2014-07-30 06:20:51 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\controllers\comment_controller.php, line 2825]
2014-07-30 06:20:51 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 16]
2014-07-30 06:20:51 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 18]
2014-07-30 06:24:16 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 11]
2014-07-30 06:24:16 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\controllers\comment_controller.php, line 2825]
2014-07-30 06:24:16 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 16]
2014-07-30 06:24:16 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 18]
2014-07-30 06:24:23 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 11]
2014-07-30 06:24:23 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\controllers\comment_controller.php, line 2825]
2014-07-30 06:24:23 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 16]
2014-07-30 06:24:23 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 18]
2014-07-30 06:25:22 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 12]
2014-07-30 06:25:22 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\controllers\comment_controller.php, line 2825]
